CR Section,Sección vCard&QR
QR Preview,Vista Previa QR
QR Code,Código QR
vCard Text,Texto vCard
Import vCard,Importar vCard
Importing Contacts,Importando Contactos
Generate vCard Book,Generar Libro vCard
No contacts selected,No se han seleccionado contactos
Integrating vCard Book,Integrando Libro vCard
vCard Create,Crear vCard
vCard Download,Descargar vCard
vCard QR Code,QR vCard
First generate the vCard,Primero genera la vCard
vCard Integration,Integración de vCard
vCard generated successfully,vCard generada con éxito
